"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","41/1860","112/9399",0.366071428571429,1.84984158986175,4.4939329695291,2.34780583301721e-05,0.000740597326089573,0.000740597326089573,"1147/6300/207/5595/1432/3112/330/3458/23643/5970/7099/3911/3113/3459/3123/6885/3587/5294/3126/3122/7097/3303/7040/6772/836/4790/841/10454/3717/596/572/3913/3304/4793/240/7043/7297/3655/3654/51135/5599",41
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","68/1860","216/9399",0.314814814814815,1.59083034647551,4.36329622017095,2.5319566703917e-05,0.000740597326089573,0.000740597326089573,"1147/6300/3576/207/9138/5595/1649/6401/1432/7186/7187/23643/5970/10333/7099/4312/6885/142678/7494/3665/4217/10010/3553/6416/29108/2919/3929/7097/1536/5296/3265/5331/3303/836/4790/5533/841/1548/5451/3326/8743/10454/4314/808/356/581/3717/596/572/4067/2921/30001/3708/3661/2920/6648/3304/3725/22926/5609/6347/3654/4773/9451/6257/4318/51135/5599",68
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","36/1860","95/9399",0.378947368421053,1.91490662139219,4.4516503239547,3.08952484298849e-05,0.000834171707606891,0.000834171707606891,"3576/942/537/3112/3458/7099/1493/4312/526/3113/8992/3123/1514/8741/3553/527/2919/3126/3122/7097/3683/3600/7040/10673/7010/1435/4314/6372/2921/2920/523/3725/7422/6347/940/7043",36
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","47/1860","137/9399",0.343065693430657,1.73358841535201,4.29613263072336,4.27582722173484e-05,0.00107201096773495,0.00107201096773495,"153090/3709/1147/207/5595/1439/1649/7186/330/55367/5970/597/8722/1075/1514/10912/3002/4000/4217/843/472/5296/3265/836/4790/10039/841/27113/823/10018/8743/2021/356/581/596/572/1520/5605/3708/6709/84823/3725/8996/8717/9451/1616/5599",47
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","35/1860","93/9399",0.376344086021505,1.90175164758932,4.34074441829096,4.68887788722263e-05,0.00109719742561009,0.00109719742561009,"1147/3560/6300/5595/1432/3112/915/3714/3458/5970/3113/3459/3123/3126/3122/6772/4790/5533/3561/5588/7535/28514/864/3717/3559/6775/30009/3725/11317/4793/2625/7297/4854/4773/5599",35
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","47/1860","138/9399",0.340579710144928,1.72102618045816,4.23817569071627,5.26093916842287e-05,0.00115411853007277,0.00115411853007277,"1147/6300/3576/207/9138/3676/5595/1432/7186/27330/2212/5970/7099/653857/6885/2533/5586/3553/8395/6416/29108/9564/6195/5296/4790/3937/2185/925/5585/3984/8935/7535/10454/10458/9844/5605/8874/3661/3725/23396/5609/6347/3654/4773/51135/10096/5599",47
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","39/1860","109/9399",0.357798165137615,1.80803492157443,4.21456584453175,6.62413911571107e-05,0.00136768989977329,0.00136768989977329,"1147/6300/3576/207/942/5595/1432/7187/23643/5970/10333/7100/7099/6885/7096/3665/51311/3553/6416/3929/7097/5296/6772/4790/841/3455/10454/4283/3627/54472/5605/3661/3725/5609/7297/3654/51135/5599/6696",39
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","74/1860","248/9399",0.298387096774194,1.50781737773153,4.02546858815964,8.35657050256152e-05,0.0016295312479995,0.0016295312479995,"1147/26999/6300/1783/3576/207/64837/5595/1432/5788/7186/330/10006/55770/23643/5970/10333/7100/7099/8677/653857/79443/6885/257364/3553/5294/6416/29108/7097/837/399/3265/3836/836/4790/55207/3071/10398/841/10540/83439/3326/8743/5585/83658/4671/10454/6237/79026/51176/26084/9266/9844/581/596/5605/60412/140735/4074/838/3725/25828/5609/79792/8767/8717/3654/89953/51135/10096/5599/4636/1639/79659",74
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","52/1860","163/9399",0.319018404907975,1.61207203641401,3.91535999674734,0.00015104420499585,0.00279034294492334,0.00279034294492334,"1147/6300/3576/207/1871/5595/1432/537/7187/5970/7099/4776/3339/6885/64135/3665/843/6416/7097/5296/3265/7040/6772/836/4790/1960/5579/2185/841/10454/356/7048/581/3717/596/572/5605/1388/4214/6775/3661/6655/5925/3725/5609/7043/7297/3654/4773/4318/51135/5599",52
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","93/1860","333/9399",0.279279279279279,1.41126126126126,3.79532860126474,0.000168857005171453,0.00296344044075901,0.00296344044075901,"23352/1147/23513/3675/3996/207/3676/5595/595/3955/537/8312/7187/3280/3134/5970/2475/1286/84667/545/3911/526/7855/1741/10297/8992/256076/5743/1856/7148/7249/1297/1298/527/55012/472/8324/1292/1019/8323/5526/28227/5296/3265/1284/7060/6772/836/4855/4790/23462/84612/5523/841/8325/3679/83439/8638/3455/1857/894/3672/356/581/26508/57801/572/7337/5605/3661/6655/3913/3659/523/5925/11317/7283/7422/7297/387332/4854/3655/1855/1299/8717/5986/51384/1452/1291/5567/1978/5528/6696",93
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","41/1860","122/9399",0.336065573770492,1.69821523003702,3.85551836018998,0.000214316111781609,0.00358214072549261,0.00358214072549261,"1147/6300/207/5595/1432/5788/915/5781/3458/5970/1493/10125/6885/4690/55012/1019/29851/5526/28227/5296/3265/4790/3937/5533/5523/5588/925/7535/5605/9402/10298/6655/3725/5609/4793/940/3702/10892/4773/5599/5528",41
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","68/1860","233/9399",0.291845493562232,1.47476117956528,3.64485751106223,0.000324889775263942,0.00490328402885608,0.00490328402885608,"6442/7140/3675/2026/2318/161176/91977/3676/84665/3930/50509/2010/829/1286/6640/7273/84675/477/3339/256076/4629/51332/84033/5339/4000/6382/1297/57731/64423/7169/1298/1605/1462/23224/270/1292/79784/478/2006/1674/1284/7060/56203/633/10398/3679/25777/1829/3672/4627/1302/2275/375790/7138/85301/6709/57644/84823/1289/22795/1824/3655/6711/9260/1299/3728/1291/4636",68
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","59/1860","196/9399",0.301020408163265,1.52112409479921,3.66202916877814,0.000328551525449538,0.00490328402885608,0.00490328402885608,"3709/1147/6300/3576/207/1871/942/5595/595/5155/1432/6850/7186/7187/3134/5970/2475/4776/3459/5743/3665/2790/5294/6416/1230/2919/1019/84557/5296/3265/6772/836/4790/5533/100507436/841/83439/3455/808/2783/51176/581/3717/4067/2921/5605/3708/3661/2920/3091/5925/3725/9261/5609/7422/7297/8717/4773/5599",59
"Human Diseases","Infectious disease: viral","hsa05162","Measles","44/1860","136/9399",0.323529411764706,1.63486717267552,3.7041947713575,0.000335267284024347,0.00490328402885608,0.00490328402885608,"1147/3560/207/595/4179/915/7187/5970/7099/6504/6885/64135/3665/3553/7097/1019/5296/3303/4940/6772/836/4790/3561/841/27113/3455/894/356/1460/581/596/572/3559/3661/3304/3725/4793/940/7297/8717/3654/51135/5599/7161",44
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","18/1860","41/9399",0.439024390243902,2.21848937844217,3.88364456975831,0.000373945224521626,0.00525019095228362,0.00525019095228363,"11186/3576/1890/1871/5595/595/4312/2064/1613/1019/3265/1839/4313/5605/999/5925/7422/4318",18
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","35/1860","103/9399",0.339805825242718,1.71711556529909,3.63477075225379,0.000477986172729069,0.00645281333184243,0.00645281333184243,"120103/6546/3783/50509/1286/4311/1300/477/169044/256076/1307/5644/1297/1296/1298/1292/478/2006/1284/54407/5222/1302/643834/1305/85301/6564/1289/1504/1294/6550/340267/1299/643847/1291/80781",35
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","22/1860","56/9399",0.392857142857143,1.98519585253456,3.67274464978851,0.000585845291066296,0.00761598878386184,0.00761598878386184,"10767/3576/3297/5970/7100/7099/1379/3553/29108/2919/7097/3303/836/4790/81876/841/4671/4791/2921/2920/3304/1378",22
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","35/1860","105/9399",0.333333333333333,1.68440860215054,3.50288674273076,0.00071440569755643,0.00895558570865382,0.00895558570865382,"3709/1147/6300/207/5595/1432/338339/6850/4046/5781/5970/64581/4776/5743/3553/29108/1540/5296/3265/6772/4790/1960/5533/841/64170/6237/808/4791/3708/3659/3725/9261/10892/4773/5599",35
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","31/1860","90/9399",0.344444444444444,1.74055555555556,3.506264742731,0.000758770358029633,0.00917964042905464,0.00917964042905464,"1147/6300/207/5595/1432/915/5781/3458/5970/7099/2475/10125/29126/3459/7097/5296/3265/6772/4790/5533/5588/7535/1460/3717/5605/27436/3091/3725/4793/940/4773",31
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","20/1860","50/9399",0.4,2.02129032258065,3.59640803899446,0.000784584652055952,0.00917964042905464,0.00917964042905464,"3820/3576/6401/3458/7099/5175/22914/6382/1379/3553/3043/7097/3683/7060/7040/3039/3040/6347/7043/1378",20
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","25/1860","68/9399",0.367647058823529,1.85780360531309,3.52610750988199,0.00081947454440774,0.00927856661571344,0.00927856661571344,"1147/861/207/5595/595/5970/2475/2209/597/5371/5296/3265/1848/4790/83439/51176/572/5605/5467/6655/5292/11040/3728/1978/5914",25
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","53/1860","180/9399",0.294444444444444,1.48789426523297,3.28274674403289,0.00113468294299334,0.0124460535309582,0.0124460535309582,"1147/207/6850/7186/3112/330/5781/7187/7188/3458/3134/5970/2475/3113/3459/3123/6885/64135/3665/7249/6732/3553/3126/3122/7097/8890/5371/5296/4940/6772/3054/836/4790/841/5451/64170/567/3455/10454/356/581/3717/596/572/10189/3661/6347/7297/8717/3654/1616/51135/1978",53
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","24/1860","66/9399",0.363636363636364,1.8375366568915,3.39142704991602,0.00123481678603087,0.0131339603605102,0.0131339603605102,"3112/8807/3458/5970/7100/7099/3113/3459/3123/3553/50615/3126/3122/7097/7040/6772/4790/3561/50616/6775/30009/3725/7043/2625",24
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","53/1860","181/9399",0.292817679558011,1.47967385492782,3.23656477966257,0.00130240452370818,0.0134454114065168,0.0134454114065168,"6300/207/5595/1432/537/6850/4046/3112/2212/3458/5970/10333/7099/2209/64581/3113/3459/3123/7096/1379/3587/843/3553/527/3687/3126/3122/3929/7097/7040/6772/836/4790/5533/841/56848/64170/2214/808/581/3717/596/572/1520/7043/8767/9902/10892/8717/3654/51135/5599/1378",53
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","51/1860","173/9399",0.294797687861272,1.48967928398285,3.22883147913628,0.0013530026103678,0.0135686833211171,0.0135686833211171,"1147/3576/207/5595/3112/7187/3458/5970/7099/3113/3459/3123/64135/5644/3665/3838/3553/29108/8106/3126/3122/1019/5371/5296/3836/4940/6772/836/4790/5579/841/100529063/11100/8743/3455/5611/356/293/4928/581/3717/3627/5605/3661/9230/6347/4793/7297/8717/3337/51135",51
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","69/1860","250/9399",0.276,1.39469032258065,3.14164413462997,0.00157097896023553,0.0153170448622964,0.0153170448622964,"3560/377/3577/116988/7037/26056/27243/84249/2869/10564/3579/6011/5662/3134/9765/829/653857/23096/160/10938/274/93343/116983/92421/28964/6456/30846/27131/23527/9727/8395/56904/6642/64744/26052/157/116984/51160/5371/3265/29934/3303/50807/7852/84612/3561/1212/29924/23325/9266/7048/10254/30845/3559/9897/55040/3304/9230/10015/23396/5119/9146/4734/5338/6455/29082/10565/10193/10096",69
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","25/1860","71/9399",0.352112676056338,1.77930486142662,3.2738562922345,0.00167146294455934,0.0158563106362251,0.0158563106362251,"1147/6300/3576/3577/1432/537/5781/3579/5970/526/8992/28964/6416/527/2919/6868/1839/836/4790/4067/2921/2920/523/3725/5599",25
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","43/1860","142/9399",0.302816901408451,1.5302021808269,3.16204372329618,0.00176048408022987,0.0162613134779127,0.0162613134779127,"3709/1147/6300/207/55423/5595/1432/6850/7186/2212/814/3458/5970/2209/3459/6885/3727/3553/2355/1540/5296/7040/6772/4790/3937/5533/2214/169200/3455/1435/10454/9846/7048/10326/4791/3708/3725/353514/5609/3726/7297/4773/5599",43
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","49/1860","169/9399",0.289940828402367,1.4651364764268,3.03068096449256,0.00243210348172224,0.0218889313355001,0.0218889313355001,"207/203228/5595/84335/11337/9110/2475/8408/6794/1514/55255/8673/6885/7249/10010/170067/23130/10533/8417/1613/116442/9474/55054/29982/84557/9821/5296/3265/30849/58476/57448/5588/55014/55102/6237/596/572/54541/5605/3708/8887/3091/55578/81671/57724/9451/5599/5567/7405",49
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","38/1860","125/9399",0.304,1.53618064516129,2.9974359686835,0.00292966700799733,0.0257078279951766,0.0257078279951766,"624/6300/207/5595/1903/1432/7186/94101/5581/5970/4217/55012/253782/5526/28227/130367/5296/3265/5331/4790/5523/5579/9294/10558/56848/166929/9846/1901/581/596/5605/8879/79603/5338/140/8717/5599/5528",38
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","37/1860","122/9399",0.30327868852459,1.53253569539926,2.94064217270014,0.00345088687131269,0.0295429583373354,0.0295429583373354,"207/1734/5595/595/5333/2475/477/7249/5211/9282/478/5296/3265/5331/6772/4855/8648/5579/10499/8841/5214/572/6548/5605/8202/652/2626/3091/5208/10025/113026/4854/9969/7067/6257/2648/5567",37
"Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","9/1860","18/9399",0.5,2.52661290322581,3.22001529187486,0.00390993643262462,0.0319002648456179,0.0319002648456179,"4125/4126/175/284004/3074/2519/64772/4123/2517",9
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","61/1860","224/9399",0.272321428571429,1.37610167050691,2.82972059666033,0.00396412999678341,0.0319002648456179,0.0319002648456179,"1147/64682/3560/1958/207/1871/5595/595/4316/29882/3112/915/51434/6722/3134/5970/545/4776/3113/3123/996/4055/200186/6416/4487/472/3126/6929/115/3122/1019/3683/5296/3265/3600/7040/4790/5533/3561/10393/567/894/293/7048/581/4791/2874/23373/3559/5605/8379/1388/4214/5925/3725/7043/387332/4773/2648/5599/5567",61
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","43/1860","148/9399",0.290540540540541,1.46816695727986,2.85137669982018,0.0041547276529524,0.0319002648456179,0.0319002648456179,"8074/4041/51426/207/1871/5595/595/8312/3714/3280/2475/7855/10297/10912/1856/2064/8324/1019/8323/5296/3265/4855/23462/8648/8325/83439/1857/28514/51176/581/26508/4791/5605/8202/6655/5925/3725/675/4854/1855/51384/1452/2252",43
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","32/1860","103/9399",0.310679611650485,1.5699342311306,2.88876768859109,0.00418493789476377,0.0319002648456179,0.0319002648456179,"624/1147/6300/3576/207/5595/1432/915/3458/5970/10333/7099/3459/3553/6416/9630/7097/5296/2767/5331/7040/4790/841/356/7048/3725/6347/7043/3654/51135/5599/5054",32
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","31/1860","99/9399",0.313131313131313,1.58232323232323,2.89306080039629,0.00419023814835398,0.0319002648456179,0.0319002648456179,"1565/6300/207/1871/5595/595/1432/3714/2475/2852/2064/115/1019/5296/3265/1839/4855/28514/581/596/572/4313/5605/8202/6655/5925/3725/4854/4318/5599/5567",31
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","98/1860","388/9399",0.252577319587629,1.27633022946458,2.76105518165327,0.00427154543516822,0.0319002648456179,0.0319002648456179,"3709/4041/1147/207/91252/64837/4514/5595/1649/2906/4696/7186/1346/8312/776/4519/4509/5970/2475/4311/513/5702/7855/8408/4713/10297/5743/374291/1856/7494/4217/23130/5684/4538/4540/3553/10975/8324/27173/11047/6868/29982/1536/8323/4541/64116/5710/9821/5296/3265/30849/5331/322/4536/4539/836/4790/4537/5533/841/8325/126328/4508/823/9861/4723/5705/83464/55334/55102/1857/1435/808/4512/1460/293/572/5605/3708/1340/348/22926/5609/4729/23516/4535/4716/4720/1855/5691/3416/4513/7922/9451/89953/51384/1452/5599",98
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","24/1860","72/9399",0.333333333333333,1.68440860215054,2.89552980756025,0.00463740762926699,0.0338541949070562,0.0338541949070562,"1147/6300/3576/1432/7186/7187/5970/9755/6885/64135/3665/10010/843/9474/1540/4790/841/3627/5300/4214/3661/4793/8717/5599",24
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","36/1860","120/9399",0.3,1.51596774193548,2.82539978022484,0.00472608418930415,0.0338541949070562,0.0338541949070562,"6300/207/5595/1432/27330/814/5781/5970/4217/11213/6195/5296/3265/4790/5598/25970/808/356/581/396/596/572/5605/4804/4214/6655/3725/9261/5609/4793/27018/8767/3654/51135/5599/7161",36
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","31/1860","100/9399",0.31,1.5665,2.82877959836865,0.00494746639746329,0.0340502099119532,0.0340502099119532,"3560/6354/3576/3577/1236/8807/10563/729230/5196/3579/6362/643/2826/4055/3587/5473/1230/2919/6376/7852/3561/8743/1435/4283/3627/6372/3559/2921/2920/6347/1235",31
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","31/1860","100/9399",0.31,1.5665,2.82877959836865,0.00494746639746329,0.0340502099119532,0.0340502099119532,"3675/3676/7037/3112/2208/915/4311/2209/3113/3123/914/1379/952/1441/3553/3126/3122/2057/930/3590/2323/1380/925/3575/1435/3672/1604/3559/3655/3574/1378",31
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","18/1860","50/9399",0.36,1.81916129032258,2.88462368105576,0.00546419354665839,0.0368833064399441,0.0368833064399441,"942/3676/3112/608/3113/2826/3123/4055/8741/3126/3122/29851/3600/7040/7852/10673/23308/940",18
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","41/1860","142/9399",0.288732394366197,1.45902998636983,2.73758377406475,0.00568398150249838,0.0372929462767249,0.0372929462767249,"64682/55120/27338/29882/330/51434/55585/55294/9817/51343/51366/996/8554/6502/7326/6923/9320/55236/8925/8452/64326/5371/57448/51465/140739/8454/10393/26232/51588/9354/55284/997/7337/4214/9040/23295/4734/55958/26272/4281/7325",41
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","25/1860","77/9399",0.324675324675325,1.64065772936741,2.8037171892269,0.00573737635026537,0.0372929462767249,0.0372929462767249,"1147/51426/207/1871/5595/595/5970/2475/10912/2064/1019/5296/7040/6772/4790/10928/7048/581/572/5925/7422/675/7043/5338/5599",25
"Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","6/1860","10/9399",0.6,3.03193548387097,3.1931371003467,0.00600165050067438,0.0383014422861219,0.0383014422861219,"9061/54928/4357/8991/23474/9060",6
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","33/1860","110/9399",0.3,1.51596774193548,2.70365786294168,0.00664413089464397,0.0416444632860721,0.0416444632860721,"2026/207/5595/112398/7037/3458/5970/7099/2475/3459/2872/5163/6923/4055/5211/2064/1536/5296/1906/230/4790/7010/5579/112399/7018/5214/596/5605/92483/3091/7422/5054/1978",33
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","44/1860","157/9399",0.280254777070064,1.41619067187179,2.61202005433496,0.00766484380753234,0.0471993013411202,0.0471993013411202,"383/6300/26762/55423/5595/1432/23200/5781/8578/4776/5743/5175/7376/203859/1850/6868/10396/6376/2057/9564/9023/7040/836/6446/682/56848/4953/1901/23355/9844/1847/3717/10326/1849/196527/558/5605/5467/3091/9261/240/286410/54896/4773",44
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","21/1860","63/9399",0.333333333333333,1.68440860215054,2.70721428785994,0.00779942457504318,0.0471999659627613,0.0471999659627613,"3955/3714/3280/1856/6868/196403/4855/23462/7091/83464/9612/1857/28514/26508/11317/7089/4854/1855/5986/2648/9253",21
