"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","65/1860","187/9399",0.347593582887701,1.75646886320511,5.18981905506299,9.36311273251646e-07,0.000118845018051761,0.000118845018051761,"3709/1147/6300/3576/84674/5595/1432/11337/7186/330/114769/7187/7188/22900/5970/7099/84168/115362/81858/6885/3665/5586/10010/3553/29108/10616/9474/2919/55054/1536/837/3428/84557/5331/4940/6772/846/4790/841/3326/5585/64170/3455/4671/10454/118429/596/2921/55072/3708/3661/2920/838/3725/25828/79792/2633/6347/4793/7297/8767/7205/51135/5599/10135",65
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","42/1860","105/9399",0.4,2.02129032258064,5.22708849685102,1.34957825994972e-06,0.000118845018051761,0.000118845018051761,"1147/3576/6850/7186/330/7187/7188/23643/55367/5970/7099/597/5743/6885/10912/4055/3553/472/2919/3929/1896/1540/128178/4790/10673/29775/5579/5588/7535/51588/10454/1460/596/4067/4791/2921/2920/10848/10892/8717/3654/51135",42
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","46/1860","119/9399",0.38655462184874,1.95334779072919,5.19838185221616,1.35206993942124e-06,0.000118845018051761,0.000118845018051761,"153090/1147/6300/64285/207/5595/6401/1432/7186/330/7187/7188/5970/5743/6885/4217/843/3553/6416/2919/6868/6376/1540/5296/1906/3600/836/4790/841/1435/10454/4314/3627/6372/2921/8986/1388/2920/3659/3725/5609/6347/3726/8717/4318/5599",46
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","34/1860","78/9399",0.435897435897436,2.20268817204301,5.29768837193847,1.35435918007705e-06,0.000118845018051761,0.000118845018051761,"6300/3676/5595/1432/3112/2212/3458/5970/7099/2209/3113/3459/5743/3123/6885/1379/3553/3126/3122/7097/1536/7040/6772/4790/5579/2214/10454/3717/3725/4793/7043/3654/51135/1378",34
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","38/1860","94/9399",0.404255319148936,2.04279341111874,5.0468609263984,3.14553622986612e-06,0.00017743950235173,0.00017743950235173,"1147/6354/6300/3576/5595/1432/7186/7187/7188/3458/5970/4312/727897/5743/6885/3727/3553/6280/2919/84818/29761/836/4790/5598/841/3326/4314/3627/6372/2921/2920/3725/225689/132014/6347/8717/4318/5599",38
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","92/1860","300/9399",0.306666666666667,1.54965591397849,4.80587002077053,3.4509863582743e-06,0.00017743950235173,0.00017743950235173,"8491/8074/1147/23542/6300/207/7786/5595/5155/1649/1432/7186/27330/51295/776/6722/5970/10125/3481/5921/2872/782/6885/4294/10912/3164/3727/4217/4296/5778/3553/23162/6416/9344/2064/7423/1850/93589/6195/3265/3556/3303/2323/7040/836/1848/4790/5533/7010/5579/5598/51701/4208/1435/10454/6237/356/9064/5154/7048/784/1847/1849/4791/5605/25780/8986/4804/4214/6655/10746/3304/3725/9261/5609/7422/7043/2122/8717/3654/6789/1616/8912/5924/3315/1943/5922/51135/5599/5567/3925/2252",92
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","68/1860","205/9399",0.331707317073171,1.67619197482297,4.86196707824618,3.53867953408009e-06,0.00017743950235173,0.00017743950235173,"1147/6300/51426/207/1871/595/1432/6850/7186/3112/2208/915/7187/7188/3280/3134/5970/5702/3113/3123/6885/10912/6502/3665/6416/11047/3126/3122/7097/1019/3683/5710/5296/965/930/4940/1380/6772/836/4790/841/9861/10018/5705/9612/567/3455/10454/894/864/581/596/4067/4791/3627/953/3661/5925/3725/11317/5609/4793/4734/7297/8717/3654/51135/5599",68
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","42/1860","109/9399",0.385321100917431,1.94711453092631,4.93998024877945,4.24285603835319e-06,0.000186155308682746,0.000186155308682746,"1147/861/3560/6300/5595/1432/3112/915/3458/5970/2475/3113/3459/3123/3553/3662/50615/3126/3122/3556/7040/6772/4790/5533/3561/5588/3326/7535/7048/3717/3559/50616/30009/3091/3725/4793/2625/7297/4773/6257/5599/5914",42
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","39/1860","101/9399",0.386138613861386,1.95124560843181,4.77392840491679,8.72403336567226e-06,0.000308354533958302,0.000308354533958302,"1958/6300/3576/207/5595/595/5333/6401/1432/5581/5970/1286/3553/7423/1536/1019/5296/3265/1906/1284/5331/7040/6772/836/4790/5579/7048/581/3717/596/4313/5292/3725/7422/6347/7043/113026/5599/5054",39
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","59/1860","175/9399",0.337142857142857,1.70365898617512,4.66701220086111,8.78502945750148e-06,0.000308354533958302,0.000308354533958302,"133022/201595/51035/23471/1649/7186/79139/81567/6238/57134/51360/80267/29979/7326/7494/4217/3998/10113/6400/80700/5886/23645/56893/3303/51465/23640/6184/29927/10483/823/8454/56886/9695/3326/26232/56605/55768/5611/581/596/55829/10427/30001/1388/27248/6185/3304/22926/91319/5609/5589/58505/9373/3337/9451/5599/9709/10905/3300",59
