"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","53/1868","181/9416",0.292817679558011,1.47600175091982,3.2167109700406,0.00138061835813265,0.0142934606489027,0.0142934606489027,"843/3553/207/3113/5599/64170/6772/2214/572/7043/3122/3587/8767/6300/4046/581/3458/5595/3112/3687/3929/10892/2209/836/1432/808/537/1378/7097/7096/3126/6850/7099/4790/56848/9902/5970/1520/1379/64581/8717/3654/5533/7040/2212/51135/596/3717/3459/3123/841/10333/527",53
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","51/1868","173/9416",0.294797687861272,1.48598234951913,3.20936952023593,0.00143215056401407,0.0144033428152272,0.0144033428152272,"3665/3553/3576/207/3113/3836/4928/100529063/5605/6772/8743/3122/1019/3455/11100/4940/4793/3337/581/1147/5644/3458/5595/3112/7187/836/3838/356/3661/5371/3627/64135/7297/29108/3126/7099/4790/9230/5970/8717/8106/5296/51135/3717/3459/5611/5579/3123/841/6347/293",51
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","69/1868","250/9416",0.276,1.39122912205567,3.11884581528856,0.00168013489009516,0.0164279855920415,0.0164279855920415,"26056/23527/5662/3577/274/9146/27131/10938/93343/30846/27243/3303/10564/10565/829/6456/3304/51160/29082/84249/1212/116988/6011/377/6642/5338/10254/29934/84612/23325/30845/3579/3134/26052/50807/4734/5119/56904/3559/5371/28964/116984/2869/157/653857/7048/7852/9765/9266/92421/55040/9230/6455/9897/64744/10096/116983/3265/3561/160/7037/29924/3560/10015/23396/8395/23096/9727/10193",69
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","25/1868","71/9416",0.352112676056338,1.77488916367585,3.26033151133964,0.00173340134545415,0.0164907371243206,0.0164907371243206,"2919/3576/523/3577/2921/1839/2920/5599/8992/6868/6416/6300/526/1147/3579/836/1432/537/28964/5781/4790/3725/4067/5970/527",25
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","43/1868","142/9416",0.302816901408451,1.52640468076123,3.14422068971683,0.00185148804213676,0.01715062607453,0.01715062607453,"4773/3553/6885/207/2355/7186/5599/3709/55423/6772/2214/10454/9846/3455/5609/169200/6300/1147/3937/3458/5595/2209/1432/10326/3727/814/1540/7297/6850/7048/353514/4790/3725/5970/3708/5533/5296/7040/2212/3459/3726/1435/4791",43
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","49/1868","169/9416",0.289940828402367,1.46150044980551,3.01160288509853,0.00256480971976855,0.0231490518297059,0.0231490518297059,"203228/57448/6885/207/30849/116442/5599/8417/10010/54541/84557/5605/55102/1613/2475/84335/572/10533/11337/23130/6794/57724/5595/1514/9451/55054/8673/5567/170067/8887/7249/8408/5588/58476/9821/81671/9110/3708/5296/29982/3265/55578/7405/55014/55255/596/6237/9474/3091",49
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","38/1868","125/9416",0.304,1.53236830835118,2.98070243976256,0.00306462212748835,0.0269686747218975,0.0269686747218975,"207/140/7186/5599/28227/624/5605/9294/9846/8879/4217/94101/1903/5338/6300/581/5595/10558/5523/1901/1432/55012/5581/5331/166929/130367/253782/4790/56848/5970/5526/8717/79603/5296/3265/596/5579/5528",38
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","37/1868","122/9416",0.30327868852459,1.52873240425457,2.92413326483829,0.0036051873043353,0.0309518519786836,0.0309518519786836,"9969/7067/207/5333/477/5605/6772/5208/2475/572/2626/478/6257/5595/4854/2648/5331/595/10499/5567/10025/9282/6548/7249/652/8648/8841/5296/5211/1734/8202/3265/4855/5579/113026/5214/3091",37
"Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","9/1868","18/9416",0.5,2.5203426124197,3.21175680329466,0.0039797018117507,0.0333306663881755,0.0333306663881755,"175/2519/3074/64772/4123/2517/4126/4125/284004",9
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","61/1868","224/9416",0.272321428571429,1.37268660140716,2.80831250139293,0.00420059112471007,0.0333306663881755,0.0333306663881755,"4773/545/1871/4487/207/2874/4776/6929/64682/3113/5599/4055/915/1958/5605/996/7043/200186/3122/1019/472/6416/581/1147/5595/3112/4316/115/3134/2648/5925/595/51434/5567/3559/29882/3126/8379/7048/3600/23373/6722/4790/3725/894/10393/5970/3683/1388/5533/5296/7040/3265/3561/3560/3123/567/4791/387332/4214/293",61
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","32/1868","103/9416",0.310679611650485,1.56603812810544,2.87344010734476,0.00435345392049693,0.0333306663881755,0.0333306663881755,"3553/3576/207/5599/915/2767/9630/624/7043/6416/5054/6300/1147/3458/5595/1432/356/5331/7097/7048/7099/4790/3725/5970/3654/5296/7040/51135/3459/841/6347/10333",32
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","43/1868","148/9416",0.290540540540541,1.46452340991956,2.83353187784921,0.00435490916055172,0.0333306663881755,0.0333306663881755,"26508/1871/207/675/51176/83439/6655/5605/8312/10297/2475/1452/7855/1019/8323/8324/4041/1856/28514/581/5595/4854/2064/8074/51426/1855/5925/595/51384/8325/2252/8648/3725/10912/23462/5296/8202/3265/1857/4855/4791/3714/3280",43
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","31/1868","99/9416",0.313131313131313,1.57839638353557,2.87797999475686,0.00435571208481839,0.0333306663881755,0.0333306663881755,"1871/207/1839/5599/6655/5605/2475/572/1019/1565/28514/6300/581/5595/4854/115/2064/4313/1432/5925/595/5567/3725/5296/8202/3265/2852/596/4855/4318/3714",31
