"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","41/1860","112/9399",0.366071428571429,1.84984158986175,4.4939329695291,2.34780583301721e-05,0.000740597326089573,0.000740597326089573,"3913/10454/6885/572/23643/5294/5595/330/3654/3112/5970/1432/3126/3123/7043/3717/3911/836/3587/841/6300/207/3304/7099/3459/4790/3122/5599/4793/3113/240/6772/7297/1147/3458/3303/3655/596/7097/51135/7040",41
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","68/1860","216/9399",0.314814814814815,1.59083034647551,4.36329622017095,2.5319566703917e-05,0.000740597326089573,0.000740597326089573,"10454/3576/6885/4773/1649/5609/3553/572/3326/6257/5533/808/356/23643/7494/5595/3654/7186/9138/5970/5451/1432/5331/4312/1548/9451/6401/3725/3717/836/142678/4217/6416/841/6300/207/3665/7187/3304/6347/10333/581/7099/6648/3661/22926/3929/3708/4318/2919/4790/5599/4314/8743/1536/29108/5296/4067/1147/10010/3303/596/30001/3265/7097/51135/2920/2921",68
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","36/1860","95/9399",0.378947368421053,1.91490662139219,4.4516503239547,3.08952484298849e-05,0.000834171707606891,0.000834171707606891,"3576/1435/3553/8741/942/527/3112/526/1493/3126/8992/7010/4312/3123/3600/523/7043/940/3725/6372/10673/6347/7099/537/2919/3122/7422/4314/3113/3683/3458/1514/7097/2920/7040/2921",36
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","47/1860","137/9399",0.343065693430657,1.73358841535201,4.29613263072336,4.27582722173484e-05,0.00107201096773495,0.00107201096773495,"10018/1649/572/356/5595/330/2021/153090/7186/5970/5605/1439/55367/3709/6709/9451/3725/10912/8996/836/4217/597/843/841/207/10039/84823/581/8722/8717/1616/823/27113/1520/3708/4790/4000/5599/8743/5296/3002/1147/472/1075/596/1514/3265",47
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","35/1860","93/9399",0.376344086021505,1.90175164758932,4.34074441829096,4.68887788722263e-05,0.00109719742561009,0.00109719742561009,"4773/5533/5595/3112/5970/1432/3126/28514/2625/3123/915/3725/3717/7535/11317/6300/3559/864/4854/3459/4790/3122/5599/6775/3561/4793/3113/3560/6772/7297/30009/1147/5588/3458/3714",35
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","47/1860","138/9399",0.340579710144928,1.72102618045816,4.23817569071627,5.26093916842287e-05,0.00115411853007277,0.00115411853007277,"10454/3576/6885/4773/5609/3553/2212/3937/925/9564/8395/5595/3654/7186/9138/5970/1432/5605/8874/8935/3676/653857/3725/7535/6416/9844/2185/6300/207/6347/3984/5585/7099/3661/6195/27330/5586/4790/5599/23396/29108/5296/1147/2533/10096/10458/51135",47
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","39/1860","109/9399",0.357798165137615,1.80803492157443,4.21456584453175,6.62413911571107e-05,0.00136768989977329,0.00136768989977329,"10454/3576/6885/5609/3553/51311/23643/942/5595/3654/5970/1432/5605/4283/3627/3725/7100/7096/6416/841/6300/207/3665/7187/10333/3455/7099/3661/3929/54472/4790/5599/6696/6772/5296/7297/1147/7097/51135",39
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","74/1860","248/9399",0.298387096774194,1.50781737773153,4.02546858815964,8.35657050256152e-05,0.0016295312479995,0.0016295312479995,"83658/837/26999/10454/3576/6885/55770/10398/5609/3553/3326/23643/5294/257364/5595/1783/330/3654/7186/5970/1432/5605/140735/653857/8677/64837/838/3071/60412/3725/7100/399/4671/55207/836/10540/6416/9844/841/6300/207/10333/5585/581/7099/5788/83439/79659/8717/1639/79026/9266/6237/4790/51176/5599/3836/4074/8743/29108/4636/1147/25828/10006/10096/89953/596/3265/7097/26084/51135/79792/8767/79443",74
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","52/1860","163/9399",0.319018404907975,1.61207203641401,3.91535999674734,0.00015104420499585,0.00279034294492334,0.00279034294492334,"10454/3576/6885/4773/6655/5609/572/1960/356/5595/3654/5970/1432/5605/4776/1388/7043/3725/1871/3717/836/843/64135/6416/841/2185/6300/207/3665/7187/5579/581/7099/537/3661/7048/4318/4790/5599/6775/3339/6772/5296/7297/1147/5925/596/3265/7097/4214/51135/7040",52
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","93/1860","333/9399",0.279279279279279,1.41126126126126,3.79532860126474,0.000168857005171453,0.00296344044075901,0.00296344044075901,"3913/23462/1286/6655/2475/572/5567/356/595/1292/55012/5595/5526/1978/527/8324/3996/7283/5970/1856/256076/3134/526/5605/51384/3676/3955/8992/387332/1284/7855/10297/23352/523/23513/84612/57801/3675/8638/3911/836/11317/7249/5743/1298/841/545/207/7337/7187/7060/3455/581/1291/537/83439/8717/8312/3661/28227/5523/1741/4854/4790/84667/4855/7422/8323/1019/26508/5986/1452/6696/1857/6772/3679/5296/7297/7148/1147/8325/472/1297/5528/5925/894/3655/1855/3265/3672/3280/1299/3659",93
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","41/1860","122/9399",0.336065573770492,1.69821523003702,3.85551836018998,0.000214316111781609,0.00358214072549261,0.00358214072549261,"3702/6885/4773/6655/5609/3937/925/5533/55012/5595/5526/5970/1432/4690/5605/1493/915/940/3725/7535/10892/6300/207/5788/5781/28227/5523/4790/5599/1019/4793/10125/5296/1147/5588/3458/5528/10298/9402/3265/29851",41
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","68/1860","233/9399",0.291845493562232,1.47476117956528,3.64485751106223,0.000324889775263942,0.00490328402885608,0.00490328402885608,"1462/1286/10398/84675/270/57731/3930/1292/23224/4629/161176/57644/2275/84033/2026/56203/256076/3676/477/1284/25777/829/1302/1829/85301/2010/478/6709/633/5339/3675/51332/1289/2318/7169/1298/84665/84823/1824/7060/50509/6640/1291/91977/64423/79784/22795/7273/4000/7140/6711/2006/9260/3339/4636/3679/1605/6442/4627/6382/1297/375790/1674/3655/7138/3672/1299/3728",68
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","59/1860","196/9399",0.301020408163265,1.52112409479921,3.66202916877814,0.000328551525449538,0.00490328402885608,0.00490328402885608,"3576/4773/2475/5609/5533/808/595/5294/6850/942/5595/7186/5970/1432/3134/5605/4776/3709/3725/100507436/1871/84557/3717/836/5743/6416/841/6300/207/3665/7187/2790/9261/3455/581/83439/8717/3661/3708/2919/3459/4790/51176/2783/1230/5599/7422/5155/3091/1019/6772/5296/7297/4067/1147/5925/3265/2920/2921",59
"Human Diseases","Infectious disease: viral","hsa05162","Measles","44/1860","136/9399",0.323529411764706,1.63486717267552,3.7041947713575,0.000335267284024347,0.00490328402885608,0.00490328402885608,"6885/3553/572/1460/356/595/3654/5970/4940/915/940/3725/7161/6504/836/64135/841/4179/207/3665/3559/7187/3304/3455/581/7099/8717/3661/27113/4790/5599/1019/3561/4793/3560/6772/5296/7297/1147/3303/894/596/7097/51135",44
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","18/1860","41/9399",0.439024390243902,2.21848937844217,3.88364456975831,0.000373945224521626,0.00525019095228362,0.00525019095228363,"1890/3576/595/5595/4313/5605/4312/1839/1871/4318/7422/1613/1019/2064/5925/3265/11186/999",18
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","35/1860","103/9399",0.339805825242718,1.71711556529909,3.63477075225379,0.000477986172729069,0.00645281333184243,0.00645281333184243,"1286/4311/1292/1296/256076/5222/643847/1300/477/1284/6564/1302/85301/478/3783/6546/1289/1298/6550/643834/50509/1291/169044/54407/1305/2006/1294/340267/1297/120103/80781/1504/1307/5644/1299",35
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","22/1860","56/9399",0.392857142857143,1.98519585253456,3.67274464978851,0.000585845291066296,0.00761598878386184,0.00761598878386184,"3576/3297/3553/4791/10767/5970/81876/7100/1378/4671/836/841/1379/3304/7099/2919/4790/29108/3303/7097/2920/2921",22
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","35/1860","105/9399",0.333333333333333,1.68440860215054,3.50288674273076,0.00071440569755643,0.00895558570865382,0.00895558570865382,"338339/4773/3553/4791/1960/5533/808/6850/5595/5970/1432/4776/3709/3725/10892/5743/841/6300/207/4046/64170/9261/5781/1540/64581/3708/6237/4790/5599/29108/6772/5296/1147/3265/3659",35
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","31/1860","90/9399",0.344444444444444,1.74055555555556,3.506264742731,0.000758770358029633,0.00917964042905464,0.00917964042905464,"4773/2475/1460/5533/5595/5970/1432/5605/29126/915/940/3725/3717/7535/6300/207/7099/5781/3459/4790/3091/4793/27436/10125/6772/5296/1147/5588/3458/3265/7097",31
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","20/1860","50/9399",0.4,2.02129032258065,3.59640803899446,0.000784584652055952,0.00917964042905464,0.00917964042905464,"3576/3553/3820/3040/7043/6401/1378/1379/6347/7060/7099/3039/5175/3043/22914/3683/3458/6382/7097/7040",20
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","25/1860","68/9399",0.367647058823529,1.85780360531309,3.52610750988199,0.00081947454440774,0.00927856661571344,0.00927856661571344,"6655/2209/2475/572/595/11040/5595/1978/5970/5605/5371/597/207/5292/83439/5914/861/4790/51176/1848/5296/1147/5467/3265/3728",25
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","53/1860","180/9399",0.294444444444444,1.48789426523297,3.28274674403289,0.00113468294299334,0.0124460535309582,0.0124460535309582,"10454/6885/2475/3553/572/356/567/6850/1978/330/3654/7186/3112/5970/5451/3134/4940/3126/10189/8890/3123/5371/3717/836/64135/7249/841/207/3665/7187/6347/64170/3455/581/5781/8717/1616/3661/3459/4790/3122/7188/3113/3054/6732/6772/5296/7297/1147/3458/596/7097/51135",53
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","24/1860","66/9399",0.363636363636364,1.8375366568915,3.39142704991602,0.00123481678603087,0.0131339603605102,0.0131339603605102,"3553/3112/5970/3126/2625/3123/7043/3725/7100/7099/8807/3459/4790/3122/50615/6775/3561/3113/6772/30009/50616/3458/7097/7040",24
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","53/1860","181/9399",0.292817679558011,1.47967385492782,3.23656477966257,0.00130240452370818,0.0134454114065168,0.0134454114065168,"2209/3553/2212/572/5533/808/6850/9902/5595/527/3687/3654/3112/5970/1432/3126/3123/7043/1378/3717/836/3587/843/7096/10892/841/6300/1379/207/4046/64170/10333/581/7099/537/8717/1520/3929/64581/3459/4790/3122/56848/5599/3113/6772/3458/2214/596/7097/51135/8767/7040",53
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","51/1860","173/9399",0.294797687861272,1.48967928398285,3.22883147913628,0.0013530026103678,0.0135686833211171,0.0135686833211171,"3576/3553/356/5595/3112/5970/9230/5605/4940/3126/3627/3838/8106/3123/293/5371/100529063/3717/836/64135/841/207/3665/7187/6347/5579/3455/581/7099/8717/3661/11100/5611/3459/4790/3122/3836/1019/4793/3113/3337/8743/29108/6772/5296/7297/1147/3458/4928/51135/5644",51
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","69/1860","250/9399",0.276,1.39469032258065,3.14164413462997,0.00157097896023553,0.0153170448622964,0.0153170448622964,"30845/116988/6642/7037/10564/6011/23527/23325/8395/26056/3579/5119/6456/3134/9230/5662/157/653857/10254/9146/1212/829/84612/27243/50807/23096/5371/29082/4734/29924/6455/3577/377/274/3559/3304/93343/9765/28964/64744/116983/9266/7048/51160/10193/10565/92421/30846/55040/2869/3561/84249/23396/10015/9727/3560/5338/10938/27131/56904/10096/9897/3303/26052/7852/3265/29934/116984/160",69
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","25/1860","71/9399",0.352112676056338,1.77930486142662,3.2738562922345,0.00167146294455934,0.0158563106362251,0.0158563106362251,"3576/527/3579/5970/1432/526/8992/1839/523/6868/3725/836/3577/6416/6300/28964/537/5781/2919/4790/5599/4067/1147/2920/2921",25
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","43/1860","142/9399",0.302816901408451,1.5302021808269,3.16204372329618,0.00176048408022987,0.0162613134779127,0.0162613134779127,"10454/6885/55423/4773/2209/1435/5609/3553/2212/4791/3937/5533/2355/6850/5595/3727/7186/5970/1432/3709/3725/9846/169200/353514/6300/207/3726/3455/1540/7048/3708/3459/4790/5599/814/10326/6772/5296/7297/1147/3458/2214/7040",43
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","49/1860","169/9399",0.289940828402367,1.4651364764268,3.03068096449256,0.00243210348172224,0.0218889313355001,0.0218889313355001,"10533/6885/84335/2475/55014/30849/572/23130/5567/8673/5595/116442/203228/6794/57448/5605/11337/55054/55255/9451/55102/84557/9474/55578/7249/207/7405/29982/9110/3708/6237/5599/9821/1613/3091/8408/81671/54541/8417/5296/57724/5588/170067/10010/58476/596/8887/1514/3265",49
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","38/1860","125/9399",0.304,1.53618064516129,2.9974359686835,0.00292966700799733,0.0257078279951766,0.0257078279951766,"624/79603/55012/5595/5526/7186/5970/1432/5331/5605/1901/1903/8879/166929/130367/4217/9846/6300/207/140/253782/5581/5579/581/8717/28227/5523/4790/56848/5599/10558/5338/5296/94101/5528/596/9294/3265",38
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","37/1860","122/9399",0.30327868852459,1.53253569539926,2.94064217270014,0.00345088687131269,0.0295429583373354,0.0295429583373354,"2475/572/6257/5567/595/5595/5211/5331/5605/7067/5333/113026/477/478/9282/5214/8648/5208/10025/7249/6548/207/10499/5579/8202/8841/1734/4854/9969/4855/3091/2626/6772/5296/652/3265/2648",37
"Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","9/1860","18/9399",0.5,2.52661290322581,3.22001529187486,0.00390993643262462,0.0319002648456179,0.0319002648456179,"175/3074/2517/4123/2519/4125/4126/284004/64772",9
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","61/1860","224/9399",0.272321428571429,1.37610167050691,2.82972059666033,0.00396412999678341,0.0319002648456179,0.0319002648456179,"200186/64682/4773/4791/5533/5567/595/29882/567/5595/4055/3112/5970/3134/5605/3126/4776/6722/387332/1388/3123/3600/7043/915/293/3725/1871/6416/545/207/3559/581/7048/6929/4790/8379/2874/3122/10393/5599/23373/4487/1019/3561/3113/115/51434/3560/3683/5296/1147/4316/472/996/5925/894/1958/3265/4214/2648/7040",61
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","43/1860","148/9399",0.290540540540541,1.46816695727986,2.85137669982018,0.0041547276529524,0.0319002648456179,0.0319002648456179,"23462/6655/2475/4791/595/5595/8324/8074/1856/5605/51384/28514/7855/10297/4041/3725/2252/10912/8648/1871/207/581/8202/83439/675/8312/4854/51176/4855/8323/1019/26508/1452/2064/51426/1857/5296/8325/3714/5925/1855/3265/3280",43
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","32/1860","103/9399",0.310679611650485,1.5699342311306,2.88876768859109,0.00418493789476377,0.0319002648456179,0.0319002648456179,"3576/3553/624/356/5595/3654/5970/1432/5331/2767/7043/915/3725/6416/841/6300/207/6347/10333/7099/7048/3459/4790/5599/5296/1147/3458/9630/5054/7097/51135/7040",32
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","31/1860","99/9399",0.313131313131313,1.58232323232323,2.89306080039629,0.00419023814835398,0.0319002648456179,0.0319002648456179,"6655/2475/572/5567/595/1565/5595/4313/1432/5605/28514/1839/3725/1871/6300/207/2852/581/8202/4318/4854/4855/5599/1019/115/2064/5296/3714/5925/596/3265",31
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","98/1860","388/9399",0.252577319587629,1.27633022946458,2.76105518165327,0.00427154543516822,0.0319002648456179,0.0319002648456179,"1649/2475/1435/5609/3553/30849/572/4514/4729/4311/1460/23130/5533/4519/808/27173/4513/7922/7494/5595/4720/8324/7186/5970/1856/5331/5605/51384/4540/3709/7855/64837/4509/1346/5691/10297/4041/9451/4537/5684/2906/64116/5710/293/6868/348/55102/836/4217/3416/4541/5743/10975/841/91252/207/4536/4713/4512/1340/23516/29982/4535/8312/55334/22926/823/3708/4696/776/4723/4790/5702/5599/4716/9821/83464/5705/8408/8323/4538/4539/1536/1452/1857/5296/11047/374291/1147/8325/513/4508/322/9861/89953/126328/1855/3265",98
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","24/1860","72/9399",0.333333333333333,1.68440860215054,2.89552980756025,0.00463740762926699,0.0338541949070562,0.0338541949070562,"3576/6885/7186/5970/1432/3627/5300/9474/843/64135/841/6300/3665/7187/8717/3661/1540/4790/5599/4793/9755/1147/10010/4214",24
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","36/1860","120/9399",0.3,1.51596774193548,2.82539978022484,0.00472608418930415,0.0338541949070562,0.0338541949070562,"6655/5609/572/808/356/5595/25970/3654/5970/1432/5605/11213/4804/27018/3725/7161/4217/5598/6300/207/9261/581/5781/6195/27330/4790/396/5599/4793/814/5296/596/3265/4214/51135/8767",36
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","31/1860","100/9399",0.31,1.5665,2.82877959836865,0.00494746639746329,0.0340502099119532,0.0340502099119532,"3576/6354/1435/643/5196/5473/3579/4055/6362/1235/4283/1236/3627/6372/3587/3577/3559/6347/8807/10563/2919/6376/2826/1230/3561/729230/8743/3560/7852/2920/2921",31
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","31/1860","100/9399",0.31,1.5665,2.82877959836865,0.00494746639746329,0.0340502099119532,0.0340502099119532,"1380/2209/1435/3553/4311/3574/925/7037/3112/3126/3676/3575/2057/3123/2323/915/930/3675/1378/952/2208/1379/3559/3590/1441/3122/1604/3113/914/3655/3672",31
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","18/1860","50/9399",0.36,1.81916129032258,2.88462368105576,0.00546419354665839,0.0368833064399441,0.0368833064399441,"8741/942/4055/3112/3126/3676/3123/3600/940/23308/10673/608/2826/3122/3113/7852/29851/7040",18
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","41/1860","142/9399",0.288732394366197,1.45902998636983,2.73758377406475,0.00568398150249838,0.0372929462767249,0.0372929462767249,"64682/27338/8925/51465/29882/6923/8454/55958/330/57448/9354/55120/55236/9320/51588/140739/64326/5371/4734/9817/55294/51343/8554/7337/51366/26232/4281/10393/55585/51434/23295/997/7325/6502/7326/996/8452/9040/26272/4214/55284",41
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","25/1860","77/9399",0.324675324675325,1.64065772936741,2.8037171892269,0.00573737635026537,0.0372929462767249,0.0372929462767249,"2475/572/595/5595/5970/7043/10912/1871/207/581/675/7048/4790/10928/5599/7422/1019/5338/2064/51426/6772/5296/1147/5925/7040",25
"Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","6/1860","10/9399",0.6,3.03193548387097,3.1931371003467,0.00600165050067438,0.0383014422861219,0.0383014422861219,"9061/23474/8991/54928/4357/9060",6
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","33/1860","110/9399",0.3,1.51596774193548,2.70365786294168,0.00664413089464397,0.0416444632860721,0.0416444632860721,"2475/7037/6923/5595/1978/4055/2026/5211/5970/5605/7010/1906/230/5214/7018/207/112398/5579/5163/7099/3459/4790/7422/92483/3091/1536/2064/2872/112399/5296/3458/596/5054",33
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","44/1860","157/9399",0.280254777070064,1.41619067187179,2.61202005433496,0.00766484380753234,0.0471993013411202,0.0471993013411202,"7376/55423/4773/9564/23200/5595/4953/558/1432/5605/1901/4776/1849/2057/8578/1850/203859/6868/196527/23355/26762/3717/836/9023/5743/9844/6446/6300/9261/682/5781/383/6376/5175/56848/3091/10396/10326/240/5467/54896/1847/286410/7040",44
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","21/1860","63/9399",0.333333333333333,1.68440860215054,2.70721428785994,0.00779942457504318,0.0471999659627613,0.0471999659627613,"23462/7089/1856/9612/28514/3955/6868/11317/9253/4854/4855/83464/26508/196403/5986/1857/3714/1855/7091/3280/2648",21
