"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","65/1860","187/9399",0.347593582887701,1.75646886320511,5.18981905506299,9.36311273251646e-07,0.000118845018051761,0.000118845018051761,"837/10454/55072/3576/6885/846/3553/3326/5595/115362/330/7186/5970/1432/5331/4940/3428/11337/3709/55054/838/3725/84557/4671/9474/841/6300/3665/7205/7187/6347/64170/2633/3455/5585/7099/3661/84168/10616/3708/2919/5586/4790/118429/10135/114769/5599/7188/4793/1536/29108/6772/81858/7297/22900/1147/25828/10010/596/84674/51135/79792/8767/2920/2921",65
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","42/1860","105/9399",0.4,2.02129032258064,5.22708849685102,1.34957825994972e-06,0.000118845018051761,0.000118845018051761,"10454/3576/6885/3553/4791/1460/23643/6850/330/3654/4055/7186/5970/128178/55367/51588/1896/10912/7535/10673/597/10892/5743/7187/5579/7099/8717/1540/3929/2919/4790/7188/29775/10848/4067/1147/5588/472/596/51135/2920/2921",42
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","46/1860","119/9399",0.38655462184874,1.95334779072919,5.19838185221616,1.35206993942124e-06,0.000118845018051761,0.000118845018051761,"10454/6885/1435/5609/3553/64285/5595/330/153090/7186/5970/1432/3627/1906/1388/3600/6401/6868/3725/6372/836/4217/843/5743/6416/841/6300/207/7187/3726/6347/8717/1540/4318/2919/4790/6376/5599/7188/4314/5296/1147/8986/2920/3659/2921",46
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","34/1860","78/9399",0.435897435897436,2.20268817204301,5.29768837193847,1.35435918007705e-06,0.000118845018051761,0.000118845018051761,"10454/6885/2209/3553/2212/5595/3654/3112/5970/1432/3126/3676/3123/7043/3725/1378/3717/5743/6300/1379/5579/7099/3459/4790/3122/4793/3113/1536/6772/3458/2214/7097/51135/7040",34
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","38/1860","94/9399",0.404255319148936,2.04279341111874,5.0468609263984,3.14553622986612e-06,0.00017743950235173,0.00017743950235173,"3576/6885/6354/3553/3326/5595/3727/7186/5970/1432/3627/4312/6280/3725/6372/836/5743/5598/841/6300/7187/6347/8717/4318/2919/4790/727897/29761/5599/7188/4314/225689/132014/1147/3458/84818/2920/2921",38
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","92/1860","300/9399",0.306666666666667,1.54965591397849,4.80587002077053,3.4509863582743e-06,0.00017743950235173,0.00017743950235173,"8491/784/10454/6885/6655/1649/1435/5609/3553/4791/23162/5533/5567/356/5595/3654/8074/3727/7186/5970/51295/1432/5605/4294/6722/3556/1849/4804/4296/7010/1850/2323/7043/3725/23542/2252/10912/836/4217/6416/5598/6300/207/3304/782/5579/9261/25780/7423/8717/1616/5921/3925/6195/51701/27330/9064/5154/7048/7786/3481/6237/776/4790/5924/1848/5599/7422/5155/9344/5922/10125/6789/2064/10746/2872/1147/93589/3164/5778/8986/3303/8912/1847/3315/3265/2122/1943/4214/51135/7040/4208",92
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","68/1860","205/9399",0.331707317073171,1.67619197482297,4.86196707824618,3.53867953408009e-06,0.00017743950235173,0.00017743950235173,"10018/10454/6885/1380/5609/4791/595/567/6850/3654/7186/3112/5970/1432/3134/4940/3126/9612/3627/3123/915/930/5710/3725/10912/4734/1871/836/11317/6416/841/6300/2208/207/3665/7187/3455/581/8717/3661/864/4790/5702/3122/5599/7188/5705/1019/4793/953/3113/3683/51426/6772/6502/5296/11047/7297/4067/1147/965/9861/5925/894/596/7097/3280/51135",68
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","42/1860","109/9399",0.385321100917431,1.94711453092631,4.93998024877945,4.24285603835319e-06,0.000186155308682746,0.000186155308682746,"4773/2475/3553/3326/6257/5533/5595/3112/5970/1432/3126/3556/2625/3123/915/3725/3717/7535/6300/3559/3662/5914/861/7048/3459/4790/3122/50615/5599/3091/3561/4793/3113/3560/6772/7297/30009/1147/5588/50616/3458/7040",42
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","39/1860","101/9399",0.386138613861386,1.95124560843181,4.77392840491679,8.72403336567226e-06,0.000308354533958302,0.000308354533958302,"3576/1286/3553/595/5595/5970/4313/1432/5331/5333/113026/1284/1906/7043/6401/3725/3717/836/6300/207/5292/6347/5581/5579/581/7423/7048/4790/5599/7422/1019/1536/6772/5296/596/1958/5054/3265/7040",39
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","59/1860","175/9399",0.337142857142857,1.70365898617512,4.66701220086111,8.78502945750148e-06,0.000308354533958302,0.000308354533958302,"6184/23640/1649/58505/5609/5886/3326/51465/8454/7494/51360/7186/79139/6400/3300/6185/10905/80700/9695/56886/56893/1388/9451/56605/10427/81567/80267/55768/4217/201595/23645/3304/581/27248/22926/823/5589/5611/55829/133022/26232/5599/10483/51035/3337/57134/91319/9373/7326/3998/29979/10113/29927/3303/596/30001/6238/23471/9709",59
